[03/Dec/2023 19:09:42] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /var/www/brian-cm/briansclub/templates with glob **/*.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /var/www/brian-cm/templates with glob **/*.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /var/www/brian-cm/payment/templates with glob **/*.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /usr/local/lib/python3.10/dist-packages/rest_framework/templates with glob **/*.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /usr/local/lib/python3.10/dist-packages/captcha/templates with glob **/*.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /usr/local/lib/python3.10/dist-packages/django_check_seo/templates with glob **/*.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /var/www/brian-cm/locale with glob **/*.mo.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /var/www/brian-cm/briansclub/locale with glob **/*.mo.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /usr/local/lib/python3.10/dist-packages/crispy_forms/locale with glob **/*.mo.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /var/www/brian-cm/payment/locale with glob **/*.mo.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /usr/local/lib/python3.10/dist-packages/rest_framework/locale with glob **/*.mo.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /var/www/brian-cm/api/locale with glob **/*.mo.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /usr/local/lib/python3.10/dist-packages/captcha/locale with glob **/*.mo.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /usr/local/lib/python3.10/dist-packages/sslserver/locale with glob **/*.mo.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:296] Watching dir /usr/local/lib/python3.10/dist-packages/django_check_seo/locale with glob **/*.mo.
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/django/contrib/postgres/fields/citext.py first seen with mtime 1699976130.7619917
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/numpy/lib/polynomial.py first seen with mtime 1699976182.5018892
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/chardet/version.py first seen with mtime 1699976133.3659863
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/sqlparse/engine/__init__.py first seen with mtime 1698253444.2948477
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.10/quopri.py first seen with mtime 1686461188.0
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/captcha/apps.py first seen with mtime 1698253611.1905515
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/urllib3/util/request.py first seen with mtime 1699976256.8897495
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/numpy/polynomial/chebyshev.py first seen with mtime 1699976182.5458891
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/charset_normalizer/__init__.py first seen with mtime 1699976105.8780427
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.10/concurrent/futures/thread.py first seen with mtime 1686461188.0
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/django/utils/datastructures.py first seen with mtime 1699976130.8859913
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/rest_framework/utils/__init__.py first seen with mtime 1698253552.238652
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.10/xml/dom/minicompat.py first seen with mtime 1686461188.0
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /usr/local/lib/python3.10/dist-packages/bs4/__init__.py first seen with mtime 1698253711.9544334
[03/Dec/2023 19:09:42] DEBUG [django.utils.autoreload:394] File /var/www/brian-cm/mysite/urls.py first seen with mtime 1701619149.1712132
